State,city,restaurant_name,Location,cuisine_type,Dish Name,cost,rating,rating_count,order_id,latitude,longitude,distance_km,traffic_level,food_preparation_time,delivery_time,total_time,expected_time,delivery_delay,delay_category,order_hour,time_of_day,peak_hour_flag,day_of_the_week,sentiment_score,sentiment
Tripura,Agartala,Momo Magic Cafe,Gurkhabasti,Chinese,Chilli Potato (Dry),250.0,4.3,26,1000023,12.94159,77.651889,9.12,Medium,33,41,74,73,1,On Time,11,Afternoon,0,Weekend,0.825,Positive
Karnataka,Bengaluru,Cheesecake & Co.,Whitefield,Cake,Kitkat Cake (half Kg),750.0,2.3,5,1000024,12.964017,77.609242,3.16,Medium,31,33,64,48,16,Heavily Delayed,8,Morning,0,Weekday,0.32499999999999996,Negative
Gujarat,Ahmedabad,Kfc,Shivam Trade Centre,Flat 179 Meals/Bucket,Rice Bowlz- Smoky Red Chicken,229.52,5.0,3,1000025,13.046294,77.565627,8.22,Jam,14,66,80,51,29,Heavily Delayed,13,Afternoon,1,Weekday,1.0,Positive
Assam,Guwahati,Burger King,Christian Basti,Korean Spicy Fest(Limited Time Only),Korean Spicy Chicken Burger Meal.,449.0,4.3,1,1000026,12.899918,77.494727,4.66,Medium,31,25,56,54,2,On Time,15,Afternoon,0,Weekday,0.825,Positive
Maharashtra,Mumbai,Mojo Pizza - 2X Toppings,Nerul,"Thin Crust Pizzas [Big 10""]","Double Trouble Chicken THIN CRUST PIZZA [BIG 10""]",579.0,4.1,1,1000027,12.978559,77.456642,4.53,Low,13,16,29,35,-6,Early,19,Evening,1,Weekday,0.7749999999999999,Positive
Tamil Nadu,Chennai,House Of Idlies,Thyagaraya Nagar,Dinner Special,Mysore Masala Dosai,200.0,4.8,9,1000028,12.998104,77.51565,12.61,High,27,66,93,81,12,Slightly Delayed,13,Afternoon,1,Weekday,0.95,Positive
Telangana,Hyderabad,Sweet Truth - Cake And Desserts,Narsingi,Cheesecake Slices,Mango Cheesecake & Blueberry Cheesecake (Box of 2),349.0,4.9,11,1000029,12.861613,77.482241,6.33,Medium,39,35,74,68,6,Slightly Delayed,8,Morning,0,Weekday,0.9750000000000001,Positive
Karnataka,Bengaluru,Mcdonald'S,Yelahanka,Group Sharing Combos,Mc Crispy Chicken Burger + McChicken Burger + Fries (M),430.47,4.7,6,1000030,13.001886,77.685634,7.31,Medium,42,29,71,75,-4,On Time,20,Night,1,Weekday,0.925,Positive
Gujarat,Ahmedabad,Mcdonald'S,Satyamev Shivalik,Group Sharing Combos,Burger Combo for 2: McChicken Burger ,464.76,4.8,14,1000031,12.892631,77.483749,12.8,Medium,31,52,83,85,-2,On Time,15,Afternoon,0,Weekday,0.95,Positive
Tamil Nadu,Chennai,Sangeetha'S Desi Mane - Annanagar,Annanagar,Special Bread Toast,Cheese Chilly Toast,165.0,4.8,23,1000032,12.866263,77.667268,2.23,Low,15,13,28,28,0,On Time,17,Evening,0,Weekday,0.95,Positive
Goa,Panaji,Cafe Cotinga,Anjuna,Coffee,Espresso Tonic,420.0,3.5,40,1000033,13.087221,77.565698,9.32,High,20,49,69,61,8,Slightly Delayed,21,Night,1,Weekend,0.625,Neutral
Himachal Pradesh,Shimla,Logo Cafe,Lakkar Bazar,Breakfast,Masala Omelette,120.0,3.4,5,1000034,13.091408,77.472014,9.1,High,16,69,85,56,29,Heavily Delayed,15,Afternoon,0,Weekday,0.6,Neutral
West Bengal,Kolkata,Kfc,Diamond Harbour,Desserts & Beverages,7UP Can 300 ml,66.67,4.9,10,1000035,13.052099,77.693819,6.95,High,33,42,75,65,10,Slightly Delayed,18,Evening,0,Weekday,0.9750000000000001,Positive
Odisha,Bhubaneswar,Mughlai Restaurant,College Square,Rice,Veg Schezwan Fried Rice With Raita,235.0,4.3,44,1000036,12.926153,77.623889,12.62,Jam,17,102,119,71,48,Heavily Delayed,21,Night,1,Weekday,0.825,Positive
Tripura,Agartala,Taste With Me !,Dhaleswar,Rice,Steam Rice,70.0,4.5,134,1000037,12.874418,77.520728,14.2,Medium,21,60,81,81,0,On Time,20,Night,1,Weekday,0.875,Positive
West Bengal,Kolkata,Lunchbox - Meals And Thalis,Thakurpukur,Upwas Specials,Kuttu Paneer Pakoda (4 Pcs),179.0,5.0,1,1000038,13.021058,77.718404,7.51,Jam,19,58,77,53,24,Heavily Delayed,14,Afternoon,1,Weekend,1.0,Positive
Tripura,Agartala,Taste With Me !,Dhaleswar,Combo Item,Laxmi Bhog Rice With Katla Shorsho & Salad,200.0,4.7,5,1000039,12.960038,77.463577,7.39,Medium,20,31,51,53,-2,On Time,21,Night,1,Weekday,0.925,Positive
Uttar Pradesh,Lucknow,Pizza Hut,Bbd,"Buy 1 Pizza Get 2 Sides, 1 Pepsi Free",Buy 1 Get 3 - Medium Veg,489.0,3.4,3,1000040,12.88051,77.510546,8.03,Medium,29,52,81,65,16,Heavily Delayed,23,Night,0,Weekday,0.6,Neutral
Kerala,Kochi,Kfc,Ernakulam,Recommended,Korean Tangy Chicken Roll,139.0,4.4,73,1000041,12.973794,77.675614,11.12,Jam,32,84,116,80,36,Heavily Delayed,15,Afternoon,0,Weekday,0.8500000000000001,Positive
Uttar Pradesh,Lucknow,Kfc,Gomti Nagar,Epic Savings Bucket For 3-4 (Up To 32% Off),Big 12 - Chicken Bucket,799.0,4.4,29,1000042,12.858597,77.662813,10.35,High,31,59,90,76,14,Slightly Delayed,16,Evening,0,Weekday,0.8500000000000001,Positive
Assam,Guwahati,Kfc,Borbari,Burgers,2 Classic Chicken Krisper Burgers,334.88,4.9,10,1000043,13.07733,77.536782,4.12,Low,31,14,45,52,-7,Early,13,Afternoon,1,Weekday,0.9750000000000001,Positive
Haryana,Gurgaon,Chinese Wok,Sector 37,Recommended,Hunan Paneer Dry - Full,359.0,4.0,2,1000044,12.914695,77.468607,1.89,Low,12,10,22,24,-2,On Time,12,Afternoon,0,Weekday,0.75,Positive
Goa,Panaji,Friends Corner,Vasco,Non Veg Starters,Cheese Omelette,160.0,2.8,4,1000045,13.015631,77.707423,14.29,High,44,90,134,104,30,Heavily Delayed,10,Morning,0,Weekday,0.44999999999999996,Negative
Delhi,New Delhi,Nic Ice Creams,crossing republic,500 Ml Ice Creams,Roasted Almond Ice Cream 500ml,296.61,4.7,174,1000046,12.927928,77.544109,4.65,High,25,27,52,48,4,On Time,19,Evening,1,Weekday,0.925,Positive
Karnataka,Bengaluru,Rnr Biryani - Taste Of 1953,Beml Layout,Beverages,Coke 250ml,19.05,4.4,30,1000047,12.980017,77.508714,9.94,Medium,27,46,73,70,3,On Time,12,Afternoon,0,Weekday,0.8500000000000001,Positive
Meghalaya,Shillong,Lamee,Police Bazar,Pork,Pork Chilli Roasted Dry,478.0,4.0,46,1000048,12.986678,77.604819,12.6,Jam,22,98,120,76,44,Heavily Delayed,13,Afternoon,1,Weekend,0.75,Positive
Tripura,Agartala,Gopal Mistanna Bhandar,Hapania,Chaat,Kachori Chat,101.0,3.9,32,1000049,12.896214,77.723068,5.2,Medium,31,27,58,56,2,On Time,21,Night,1,Weekend,0.725,Neutral
West Bengal,Kolkata,Pizza Hut,Behala,Flash Sale Pizzas,Royal Spice Chicken Personal Pizza,409.0,3.3,1,1000050,13.092396,77.463064,9.9,Medium,18,54,72,61,11,Slightly Delayed,16,Evening,0,Weekday,0.575,Neutral
Nagaland,Kohima,Domino'S Pizza,Kohima Locality,Loaded Pizza,The 5 Chicken Feast Pizza,435.0,3.5,1,1000051,13.043783,77.679741,2.51,Low,15,13,28,29,-1,On Time,8,Morning,0,Weekday,0.625,Neutral
Goa,Panaji,Domino'S Pizza,Mapusa,Dominos Classics,Fresh Veggie Pizza,249.0,4.6,1,1000052,13.084875,77.621742,14.58,High,18,79,97,79,18,Heavily Delayed,22,Night,0,Weekday,0.8999999999999999,Positive
Rajasthan,Jaipur,Burger King,Jagatpura,Recommended,King Peri Peri Fries,159.0,4.3,61,1000053,13.073707,77.577635,1.81,Low,27,10,37,39,-2,On Time,17,Evening,0,Weekday,0.825,Positive
Punjab,Chandigarh,Caterspoint,Phase 7 Mohali,Pasta - Penne | Spaghetti,Creamy Pesto Chicken Penne Pasta,429.0,4.2,14,1000054,12.999475,77.673224,7.13,High,42,38,80,74,6,Slightly Delayed,12,Afternoon,0,Weekday,0.8,Positive
Meghalaya,Shillong,The Phoenix Residency,Nongthymmai Nongkhyriem,Indian Breads,Kashmiri Naan,100.0,4.5,12,1000055,13.080469,77.739747,8.52,Medium,31,37,68,69,-1,On Time,11,Afternoon,0,Weekday,0.875,Positive
Haryana,Gurgaon,Lunchbox - Meals And Thalis,"Sector 37,Gurgaon",Upwas Specials,Sabudana Khichdi & Curd Meal,239.0,4.6,38,1000056,12.872123,77.518762,12.07,Jam,42,94,136,94,42,Heavily Delayed,8,Morning,0,Weekday,0.8999999999999999,Positive
Telangana,Hyderabad,Labonel Fine Baking,Gachibowli,Brownies,Mixed Assorted Brownies [15 Pcs],2100.0,4.8,28,1000057,12.898996,77.493094,2.7,High,38,20,58,53,5,On Time,9,Morning,0,Weekday,0.95,Positive
Uttar Pradesh,Lucknow,The Bon Bon Bakers,Aliganj,Pastry,TIRAMISHU JAAR,160.0,4.3,2,1000058,12.861307,77.723865,7.17,Medium,25,29,54,57,-3,On Time,20,Night,1,Weekday,0.825,Positive
West Bengal,Kolkata,Sweet Truth - Cake And Desserts,Thakurpukur,Recommended,Chocolate Cheesecake Slice,199.0,4.9,13,1000059,12.931333,77.650686,5.2,High,13,29,42,38,4,On Time,10,Morning,0,Weekend,0.9750000000000001,Positive
Nagaland,Kohima,Aurora Restaurant & Lodging,Old NST,Chow,Veg Chow,190.0,4.6,14,1000060,12.947169,77.581396,5.37,High,19,33,52,44,8,Slightly Delayed,20,Night,1,Weekday,0.8999999999999999,Positive
Tamil Nadu,Chennai,Dindigul Thalappakatti - Since 1957,Poonamallee,Kebabs & Barbeque,Pepper Bbq Prawn,509.0,3.4,1,1000061,12.917837,77.621978,11.9,High,41,78,119,92,27,Heavily Delayed,9,Morning,0,Weekend,0.6,Neutral
Maharashtra,Mumbai,Suchali'S Artisan Bakehouse,Nerul,Freshly Baked Breads,Jalapeno & Cheddar Cheese Sourdough (420g),280.0,4.8,2,1000062,13.057184,77.673684,1.08,Low,41,10,51,50,1,On Time,16,Evening,0,Weekday,0.95,Positive
Karnataka,Bengaluru,Mcdonald'S,Rajarajeshwari Nagar,Cakes Brownies And Cookies,Chocochip Muffin,142.0,4.4,33,1000063,12.939188,77.68191,11.49,High,23,64,87,72,15,Slightly Delayed,23,Night,0,Weekend,0.8500000000000001,Positive
Delhi,New Delhi,Bhikharam Chandmal,Raj Nagar Extension,Namkeens,Aloo Bhujia 250g,102.0,2.5,3,1000064,12.920234,77.725968,12.35,Jam,29,105,134,82,52,Heavily Delayed,18,Evening,0,Weekend,0.375,Negative
Maharashtra,Mumbai,La Pino'Z Pizza,HAWRE CENTURION MALL,Dessert,Choco Lava,133.0,4.2,100,1000065,12.985674,77.578053,13.62,High,27,72,99,85,14,Slightly Delayed,21,Night,1,Weekday,0.8,Positive
Meghalaya,Shillong,Long Jhon Silver'S,Polo,Fried Rice,Pork Schezwan Fried Rice,180.0,4.6,49,1000066,12.885231,77.538023,9.78,Medium,12,45,57,55,2,On Time,16,Evening,0,Weekend,0.8999999999999999,Positive
Goa,Panaji,Mcdonald'S,Calangute,Burgers & Wraps,Korean Chicken Surprise Burger,91.42,4.0,17,1000067,13.050549,77.641899,5.67,Medium,15,25,40,42,-2,On Time,19,Evening,1,Weekday,0.75,Positive
Haryana,Gurgaon,Wendy'S Burgers,Old Gurgaon (Zone 6),Fries & Sides,Chicken Nuggets,129.0,3.8,36,1000068,12.868638,77.574718,6.98,Medium,27,31,58,59,-1,On Time,17,Evening,0,Weekday,0.7,Neutral
Karnataka,Bengaluru,Freshmenu,Yelahanka,Asian Bowls,Dragon Fire Egg Fried Rice,247.0,4.4,15,1000069,13.096722,77.62838,14.58,Medium,41,60,101,102,-1,On Time,12,Afternoon,0,Weekday,0.8500000000000001,Positive
Jammu and Kashmir,Srinagar,Kfc,Bemina,Sides And Dips,Peri Peri Chicken Leg Piece - 1 pc,115.0,4.3,1,1000070,13.043061,77.575996,13.34,High,18,75,93,75,18,Heavily Delayed,19,Evening,1,Weekend,0.825,Positive
Rajasthan,Jaipur,Kfc,Jaipur Textile Market,B2G1 Special Offer,American Classic Chicken Roll - DOTD,119.0,4.1,2,1000071,12.899679,77.495899,7.49,Medium,35,33,68,69,-1,On Time,19,Evening,1,Weekday,0.7749999999999999,Positive
Rajasthan,Jaipur,Mcdonald'S,Malviya Nagar,Extra Value Meal Large,Large EVM Big Spicy Chicken Wrap ,411.43,4.1,9,1000072,12.851381,77.590828,14.2,High,28,78,106,88,18,Heavily Delayed,18,Evening,0,Weekday,0.7749999999999999,Positive
Mizoram,Aizawl,Emerald 3:14,Khatla,Chicken Special,Chicken Kabab,260.0,3.3,3,1000073,13.053865,77.657275,12.52,Medium,15,60,75,68,7,Slightly Delayed,10,Morning,0,Weekday,0.575,Neutral
Maharashtra,Mumbai,Chaayos Chai+Snacks=Relax,Thane West,Recommended,Mom's Poha,159.0,4.5,388,1000074,13.026714,77.689785,13.62,High,11,75,86,69,17,Heavily Delayed,21,Night,1,Weekday,0.875,Positive
Haryana,Gurgaon,Pizza Hut,Sector 99,Appetizer,Cheezy Sprinkled Fries,109.0,2.3,3,1000075,13.032252,77.597998,10.56,Jam,37,89,126,83,43,Heavily Delayed,15,Afternoon,0,Weekday,0.32499999999999996,Negative
Meghalaya,Shillong,Mikado Restaurant,Police Bazar,Vegetarian Delights,Yellow Dal,79.0,4.3,91,1000076,13.042818,77.499571,13.01,High,29,73,102,84,18,Heavily Delayed,19,Evening,1,Weekday,0.825,Positive
Telangana,Hyderabad,Mcdonald'S,Pocharam,Mcsaver Combos (2 Pc Meals),New McSaver Chicken Surprise,179.0,4.1,12,1000077,12.868511,77.574406,13.48,High,23,73,96,80,16,Heavily Delayed,21,Night,1,Weekday,0.7749999999999999,Positive
Rajasthan,Jaipur,Rama Restaurant,Jhotwara,Tandoor,Butter Tandoori Roti,15.0,2.7,16,1000078,12.939616,77.685888,2.29,Low,42,29,71,55,16,Heavily Delayed,8,Morning,0,Weekday,0.42500000000000004,Negative
Uttar Pradesh,Lucknow,Subway,Gomti Nagar,Recommended,Tandoori Paneer Craver (10cm),169.0,3.2,4,1000079,12.878967,77.573858,14.51,Jam,13,128,141,74,67,Heavily Delayed,17,Evening,0,Weekday,0.55,Neutral
Meghalaya,Shillong,Madras Cafe,Police Bazar,Indian Breads,Butter Tandoori Roti,75.0,4.4,14,1000080,13.065776,77.658959,5.67,High,37,34,71,64,7,Slightly Delayed,11,Afternoon,0,Weekday,0.8500000000000001,Positive
Madhya Pradesh,Indore,Kfc,Phoenix,Epic Savings Bucket For 3-4 (Up To 32% Off),Ultimate Savings Chicken Bucket,748.57,4.2,12,1000081,13.005825,77.602164,7.16,Medium,39,37,76,71,5,On Time,20,Night,1,Weekday,0.8,Positive
Telangana,Hyderabad,Hotel Shubham Palace - Dhanturi Group Of Hotels,Nanakramguda,Breakfast,Idly (4 Pieces),85.0,4.3,133,1000082,12.932725,77.522367,12.09,Jam,27,97,124,79,45,Heavily Delayed,23,Night,0,Weekday,0.825,Positive
Tamil Nadu,Chennai,Bhavyam Veg,Annanagar,Evening Specials[Bv],Mysore Bonda,150.0,4.7,210,1000083,12.86589,77.688845,10.31,Medium,18,45,63,63,0,On Time,22,Night,0,Weekday,0.925,Positive
Punjab,Chandigarh,Burger King,Mohali Kharar Road Mohali,Kings Collection ( Premium Burgers ),Original Whopper Chicken(XL size Bun)+4pcs Crunchy Chicken Nuggets.,318.0,5.0,1,1000084,12.927746,77.475264,13.5,Medium,16,55,71,73,-2,On Time,9,Morning,0,Weekday,1.0,Positive
Maharashtra,Mumbai,Mcdonald'S,Dombivli East,Fries & Sides,4 Pcs Chicken Nuggets,110.0,4.5,51,1000085,12.931296,77.607467,6.61,Medium,24,29,53,54,-1,On Time,13,Afternoon,1,Weekday,0.875,Positive
Rajasthan,Jaipur,Domino'S Pizza,Jagatpura,Garlic Breads & Dips,Chicken Pepperoni Stuffed Garlic Bread,189.0,3.2,16,1000086,13.032402,77.512667,6.23,Medium,36,48,84,65,19,Heavily Delayed,22,Night,0,Weekend,0.55,Neutral
Goa,Panaji,Mustard Cafe - Hotel Astoria,Assagao,Mustard Classics,Vegetarian Mustard Curry (Shorshay Batar Jhol ),480.0,2.6,3,1000087,13.009389,77.47012,1.44,Medium,14,17,31,24,7,Slightly Delayed,17,Evening,0,Weekend,0.4,Negative
Madhya Pradesh,Indore,Mcdonald'S,Khajrana,Mcsaver Combos (2 Pc Meals),Black Forest Mcflurry (M) BOGO,139.0,4.5,2,1000088,13.071803,77.60088,7.48,Medium,14,33,47,48,-1,On Time,22,Night,0,Weekend,0.875,Positive
Goa,Panaji,Kfc,"Opp Bharat Petrol Pump,Bamman Vaddo, Siolim",Recommended,Spicy Zinger Burger and Popcorn Meal,449.0,5.0,4,1000089,12.968054,77.599869,11.14,Jam,31,86,117,79,38,Heavily Delayed,20,Night,1,Weekday,1.0,Positive
Rajasthan,Jaipur,Domino'S Pizza,Jagatpura,Dominos Classics,Margherita Pizza,109.0,4.1,142,1000090,12.879899,77.66207,5.22,High,32,32,64,57,7,Slightly Delayed,23,Night,0,Weekday,0.7749999999999999,Positive
Uttarakhand,Dehradun,Kalsang Friends Corner,Hathibarkala Salwala,Lamen Fried (Flat Noodles Dry),Vegetable Lamen Fried,339.0,2.9,3,1000091,13.028311,77.673425,7.48,Medium,22,49,71,56,15,Slightly Delayed,18,Evening,0,Weekday,0.475,Negative
Odisha,Bhubaneswar,Wow! China,Cda Sector 6,Noodles,Chicken Noodles In Hot Garlic Sauce Regular,325.0,4.4,74,1000092,13.040196,77.668337,4.07,Medium,15,22,37,35,2,On Time,15,Afternoon,0,Weekend,0.8500000000000001,Positive
Maharashtra,Mumbai,Freshmenu,Waghbil,All Day Breakfast,Great Brit English Breakfast,249.0,4.4,32,1000093,12.990319,77.572868,11.82,High,43,67,110,94,16,Heavily Delayed,14,Afternoon,1,Weekday,0.8500000000000001,Positive
Telangana,Hyderabad,Kfc,Kapil Tower,Rolls,Korean Tangy Roll & Popcorn Chicken Meal,319.0,2.9,13,1000094,13.042742,77.639507,1.85,Low,11,29,40,23,17,Heavily Delayed,20,Night,1,Weekend,0.475,Negative
Odisha,Bhubaneswar,Burger Singh(Big Punjabi Burgers),College Square,Gulaabo Combo @ 189,Veg United States Of Punjab Burger Value Combo,279.0,4.3,9,1000095,12.973449,77.623084,10.88,High,18,58,76,65,11,Slightly Delayed,22,Night,0,Weekend,0.825,Positive
Telangana,Hyderabad,The Good Bowl,Hafeezpet,Desserts,Mango Cheesecake,199.0,2.0,10,1000096,12.980683,77.576469,6.31,Jam,31,61,92,60,32,Heavily Delayed,22,Night,0,Weekend,0.25,Negative
Punjab,Chandigarh,Kfc,Sector 9,Rice Bowlz,Plain Rice Bowl,139.05,4.6,8,1000097,12.956885,77.629164,1.58,Low,35,11,46,46,0,On Time,14,Afternoon,1,Weekday,0.8999999999999999,Positive
Uttarakhand,Dehradun,The Belgian Waffle Co.,Jakhan,Recommended,Mini Waffle Box of 6 - Assorted,525.0,4.9,8,1000098,12.856355,77.734174,12.95,High,29,71,100,84,16,Heavily Delayed,22,Night,0,Weekday,0.9750000000000001,Positive
Jharkhand,Ranchi,Shree Gangaur,Jai Prakash Nagar,Namkeens,Aloo Chipps Masala (100 gms) (Per Pkt),65.0,4.9,21,1000099,12.876973,77.507868,7.83,Low,19,31,50,54,-4,On Time,18,Evening,0,Weekday,0.9750000000000001,Positive
Maharashtra,Mumbai,Olio - The Wood Fired Pizzeria,Panvel City,Cheese Burst Pizza,Cheeseburst - Farmhouse Pizza,439.0,4.5,19,1000100,12.857857,77.721732,9.39,High,30,52,82,71,11,Slightly Delayed,10,Morning,0,Weekday,0.875,Positive
Karnataka,Bengaluru,Lunchbox  Meals And Thalis,Kengeri Satellite Town,Paratha Lunchbox,Dum Aloo and Paratha Meal,249.0,4.0,2,1000101,13.009103,77.466037,11.25,Jam,20,85,105,68,37,Heavily Delayed,17,Evening,0,Weekend,0.75,Positive
Karnataka,Bengaluru,Mcdonald'S,Peenya,Mcsaver Combos (2 Pc Meals),McVeggie Burger + McAloo Tikki Burger,210.47,4.8,36,1000102,12.928589,77.542517,10.17,Jam,30,78,108,74,34,Heavily Delayed,18,Evening,0,Weekend,0.95,Positive
West Bengal,Kolkata,Subway,Pailan,Recommended,Egg'n Chicken Melt,256.17,5.0,3,1000103,12.977143,77.536444,11.23,Medium,27,47,74,75,-1,On Time,9,Morning,0,Weekday,1.0,Positive
Rajasthan,Jaipur,Dmb Sweets Pvt Ltd,Lal Kothi,Snacks,Khandvi,80.0,4.3,38,1000104,13.076892,77.63791,11.67,Jam,11,96,107,61,46,Heavily Delayed,16,Evening,0,Weekday,0.825,Positive
Uttar Pradesh,Lucknow,Mcdonald'S,Sushant Golf City,Sides,Piri Piri Seasoning,23.0,4.8,40,1000105,12.912323,77.489367,9.25,Low,38,35,73,79,-6,Early,12,Afternoon,0,Weekend,0.95,Positive
Kerala,Kochi,Zaatar Arabic Restaurant,Palarivattom,Chinese,Schezuan Chicken,310.0,4.2,3,1000106,12.952596,77.714704,6.12,Medium,31,27,58,59,-1,On Time,12,Afternoon,0,Weekday,0.8,Positive
Karnataka,Bengaluru,Udupi Grand,Yelahanka,Juices,Musk Melon Shake,115.0,4.9,42,1000107,13.038888,77.698565,4.4,Medium,25,21,46,47,-1,On Time,18,Evening,0,Weekend,0.9750000000000001,Positive
